Total I/Os per Second ,Total MBs per Second ,Average I/O Response Time (ms) ,Maximum I/O Response Time (ms) ,% CPU Utilization (total) ,Total Error Count ,
9484.48,1185.56,13.5373,33.7715,4.51 %,0,
9463.33,1182.92,13.4893,34.5323,3.89 %,0,
9586.29,1198.29,13.3891,32.0744,3.57 %,0,
9380.04,1172.51,13.6351,31.7988,2.36 %,0,
9630.95,1203.87,13.2847,36.9591,3.16 %,0,
9496.73,1187.09,13.4836,35.3005,4.19 %,0,
9595.81,1199.48,13.3486,34.0024,4.48 %,0,
9633.88,1204.23,13.2677,39.4375,3.07 %,0,
9611.60,1201.45,13.3142,35.3686,2.76 %,0,
9619.85,1202.48,13.3151,32.3328,3.06 %,0,
9653.45,1206.68,13.2598,32.7438,2.77 %,0,
9598.25,1199.78,13.3476,33.2313,2.69 %,0,
9582.19,1197.77,13.3204,34.3260,3.80 %,0,
9589.31,1198.66,13.3778,34.7330,4.47 %,0,
9580.69,1197.59,13.3624,32.2363,3.00 %,0,
9464.59,1183.07,13.5185,33.2539,3.89 %,0,
9518.58,1189.82,13.4356,35.9047,3.25 %,0,
9388.68,1173.58,13.6346,35.1512,0.93 %,0,
9582.62,1197.83,13.3686,33.2125,4.38 %,0,
9670.03,1208.75,13.2335,32.8585,3.76 %,0,
9577.14,1197.14,13.3684,36.7039,2.25 %,0,
9681.90,1210.24,13.2314,32.8443,4.10 %,0,
9614.12,1201.76,13.3098,33.0670,1.91 %,0,
9288.66,1161.08,13.7646,33.5984,5.43 %,0,
9543.01,1192.88,13.4251,33.9138,3.50 %,0,
9354.93,1169.37,13.6409,33.9211,2.20 %,0,
8885.68,1110.71,14.4321,36.0431,1.77 %,0,
8976.35,1122.04,14.2641,36.7764,1.38 %,0,
8962.48,1120.31,14.2813,36.6938,2.86 %,0,
8883.20,1110.40,14.3887,34.7211,2.47 %,0,
8757.90,1094.74,14.6009,37.7432,2.62 %,0,
8884.77,1110.60,14.4461,36.0923,3.70 %,0,
8931.87,1116.48,14.3241,33.7137,2.47 %,0,
8896.92,1112.12,14.3756,38.6555,2.53 %,0,
8880.50,1110.06,14.4123,35.4554,1.73 %,0,
8878.45,1109.81,14.4286,39.1203,2.08 %,0,
8768.49,1096.06,14.5958,41.7397,3.59 %,0,
8792.86,1099.11,14.5568,38.8163,2.18 %,0,
8638.51,1079.81,14.7793,34.8759,2.94 %,0,
8783.36,1097.92,14.5998,37.4019,2.67 %,0,
8850.93,1106.37,14.4804,34.4979,2.76 %,0,
8866.65,1108.33,14.4277,37.7830,3.00 %,0,
8991.82,1123.98,14.2206,37.5016,3.89 %,0,
8795.03,1099.38,14.5123,37.9137,2.84 %,0,
8472.38,1059.05,15.1294,39.2796,2.57 %,0,
8879.65,1109.96,14.4426,36.3101,4.04 %,0,
8821.42,1102.68,14.5187,36.0116,2.49 %,0,
8753.08,1094.13,14.5990,41.1366,2.03 %,0,
8945.12,1118.14,14.3200,33.8917,2.63 %,0,
8884.89,1110.61,14.4186,36.3444,2.33 %,0,
8984.41,1123.05,14.2093,34.8355,1.90 %,0,
8725.00,1090.62,14.7040,36.2020,3.20 %,0,
8954.39,1119.30,14.2905,34.1697,3.25 %,0,
8864.28,1108.04,14.4280,38.0239,1.66 %,0,
8897.98,1112.25,14.3888,35.7769,3.62 %,0,
8771.10,1096.39,14.5964,36.3158,3.39 %,0,
9036.46,1129.56,14.1877,36.7872,5.34 %,0,
9341.94,1167.74,13.6956,33.9541,0.91 %,0,
9433.61,1179.20,13.5448,36.8846,2.58 %,0,
9458.01,1182.25,13.5534,39.7660,2.85 %,0,
9601.08,1200.13,13.3319,29.9406,3.54 %,0,
9600.51,1200.06,13.3204,34.6916,3.55 %,0,
9525.49,1190.69,13.4335,43.6449,2.37 %,0,
9589.38,1198.67,13.3725,31.6229,4.71 %,0,
9638.97,1204.87,13.2455,33.0903,3.91 %,0,
9595.41,1199.43,13.3490,32.3360,3.17 %,0,
9594.48,1199.31,13.3433,40.0603,1.01 %,0,
